subdir frame_num face_height face_width face_x_center face_y_center roll pitch yaw attention_label
HH0490-rgb_2016_12_25_21_0_0 5 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 10 151 143 1553 1014 9 -13 0 2
HH0490-rgb_2016_12_25_21_0_0 15 187 185 1575 1025 23 -8 -2 2
HH0490-rgb_2016_12_25_21_0_0 20 187 186 1577 1024 23 -8 -3 2
HH0490-rgb_2016_12_25_21_0_0 25 154 142 1550 1015 8 -11 1 2
HH0490-rgb_2016_12_25_21_0_0 30 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 35 189 185 1578 1024 25 -10 -4 2
HH0490-rgb_2016_12_25_21_0_0 40 185 187 1575 1023 22 -8 -3 2
HH0490-rgb_2016_12_25_21_0_0 45 186 180 1552 1032 9 -16 1 2
HH0490-rgb_2016_12_25_21_0_0 50 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 55 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 60 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 65 186 189 1577 1026 24 -10 -3 2
HH0490-rgb_2016_12_25_21_0_0 70 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 75 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 80 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 85 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 90 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 95 186 191 1579 1027 23 -8 -2 2
HH0490-rgb_2016_12_25_21_0_0 100 186 186 1579 1025 24 -8 -1 2
HH0490-rgb_2016_12_25_21_0_0 105 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 110 186 186 1578 1024 24 -8 -3 2
HH0490-rgb_2016_12_25_21_0_0 115 184 189 1579 1026 23 -7 -3 2
HH0490-rgb_2016_12_25_21_0_0 120 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 125 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 130 186 186 1576 1028 22 -8 -2 2
HH0490-rgb_2016_12_25_21_0_0 135 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 140 187 185 1578 1026 23 -8 -2 2
HH0490-rgb_2016_12_25_21_0_0 145 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 150 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 155 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 160 186 187 1577 1026 23 -5 -1 2
HH0490-rgb_2016_12_25_21_0_0 165 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 170 186 186 1575 1029 22 -6 -2 2
HH0490-rgb_2016_12_25_21_0_0 175 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 180 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 185 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 190 187 185 1576 1027 22 -7 -2 2
HH0490-rgb_2016_12_25_21_0_0 195 186 185 1576 1024 23 -9 -1 2
HH0490-rgb_2016_12_25_21_0_0 200 186 185 1577 1026 23 -10 -2 2
HH0490-rgb_2016_12_25_21_0_0 205 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 210 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 215 186 191 1579 1027 21 -10 -1 2
HH0490-rgb_2016_12_25_21_0_0 220 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 225 NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 230 184 186 1578 1028 21 -7 -4 2
