subdir frame_num face_startX face_startY face_endX face_endY face_height face_width face_x_center face_y_center yaw pitch roll attention_label
HH0490-rgb_2016_12_25_21_0_0 5 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 10 1482 939 1625 1080 141 143 1553 1009 0 -13 9 2
HH0490-rgb_2016_12_25_21_0_0 15 1483 932 1668 1080 148 185 1575 1006 -2 -8 23 2
HH0490-rgb_2016_12_25_21_0_0 20 1484 931 1670 1080 149 186 1577 1005 -3 -8 23 2
HH0490-rgb_2016_12_25_21_0_0 25 1479 938 1621 1080 142 142 1550 1009 1 -11 8 2
HH0490-rgb_2016_12_25_21_0_0 30 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 35 1486 930 1671 1080 150 185 1578 1005 -4 -10 25 2
HH0490-rgb_2016_12_25_21_0_0 40 1482 931 1669 1080 149 187 1575 1005 -3 -8 22 2
HH0490-rgb_2016_12_25_21_0_0 45 1462 939 1642 1080 141 180 1552 1009 1 -16 9 2
HH0490-rgb_2016_12_25_21_0_0 50 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 55 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 60 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 65 1483 933 1672 1080 147 189 1577 1006 -3 -10 24 2
HH0490-rgb_2016_12_25_21_0_0 70 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 75 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 80 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 85 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 90 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 95 1484 934 1675 1080 146 191 1579 1007 -2 -8 23 2
HH0490-rgb_2016_12_25_21_0_0 100 1486 932 1672 1080 148 186 1579 1006 -1 -8 24 2
HH0490-rgb_2016_12_25_21_0_0 105 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 110 1485 931 1671 1080 149 186 1578 1005 -3 -8 24 2
HH0490-rgb_2016_12_25_21_0_0 115 1485 934 1674 1080 146 189 1579 1007 -3 -7 23 2
HH0490-rgb_2016_12_25_21_0_0 120 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 125 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 130 1483 935 1669 1080 145 186 1576 1007 -2 -8 22 2
HH0490-rgb_2016_12_25_21_0_0 135 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 140 1486 933 1671 1080 147 185 1578 1006 -2 -8 23 2
HH0490-rgb_2016_12_25_21_0_0 145 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 150 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 155 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 160 1484 933 1671 1080 147 187 1577 1006 -1 -5 23 2
HH0490-rgb_2016_12_25_21_0_0 165 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 170 1482 936 1668 1080 144 186 1575 1008 -2 -6 22 2
HH0490-rgb_2016_12_25_21_0_0 175 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 180 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 185 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 190 1484 934 1669 1080 146 185 1576 1007 -2 -7 22 2
HH0490-rgb_2016_12_25_21_0_0 195 1484 931 1669 1080 149 185 1576 1005 -1 -9 23 2
HH0490-rgb_2016_12_25_21_0_0 200 1485 933 1670 1080 147 185 1577 1006 -2 -10 23 2
HH0490-rgb_2016_12_25_21_0_0 205 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 210 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 215 1484 934 1675 1080 146 191 1579 1007 -1 -10 21 2
HH0490-rgb_2016_12_25_21_0_0 220 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 225 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 230 1485 936 1671 1080 144 186 1578 1008 -4 -7 21 2
HH0490-rgb_2016_12_25_21_0_0 235 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 240 1482 935 1627 1080 145 145 1554 1007 1 -15 8 2
HH0490-rgb_2016_12_25_21_0_0 245 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 250 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 255 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 260 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 265 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 270 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 275 1480 937 1620 1080 143 140 1550 1008 0 -11 6 2
HH0490-rgb_2016_12_25_21_0_0 280 NA NA NA NA NA NA NA NA NA NA NA 0
HH0490-rgb_2016_12_25_21_0_0 285 1542 939 1680 1080 141 138 1611 1009 3 -1 -6 0
HH0490-rgb_2016_12_25_21_0_0 290 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 295 1567 950 1772 1080 130 205 1669 1015 8 -22 13 2
HH0490-rgb_2016_12_25_21_0_0 300 1509 921 1694 1080 159 185 1601 1000 -1 -3 11 2
HH0490-rgb_2016_12_25_21_0_0 305 1473 935 1651 1080 145 178 1562 1007 -3 -4 5 2
HH0490-rgb_2016_12_25_21_0_0 310 1495 934 1680 1080 146 185 1587 1007 -2 -5 17 2
HH0490-rgb_2016_12_25_21_0_0 315 1481 937 1661 1080 143 180 1571 1008 0 -2 0 1
HH0490-rgb_2016_12_25_21_0_0 320 1494 932 1678 1080 148 184 1586 1006 -1 -14 14 2
HH0490-rgb_2016_12_25_21_0_0 325 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 330 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 335 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 340 1493 934 1684 1080 146 191 1588 1007 -1 -10 13 2
HH0490-rgb_2016_12_25_21_0_0 345 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 350 1500 938 1692 1080 142 192 1596 1009 -1 -7 22 2
HH0490-rgb_2016_12_25_21_0_0 355 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 360 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 365 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 370 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 375 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 380 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 385 1503 940 1696 1080 140 193 1599 1010 -1 -9 21 2
HH0490-rgb_2016_12_25_21_0_0 390 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 395 1499 939 1698 1080 141 199 1598 1009 0 -12 18 2
HH0490-rgb_2016_12_25_21_0_0 400 1503 938 1697 1080 142 194 1600 1009 -1 -12 20 2
HH0490-rgb_2016_12_25_21_0_0 405 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 410 1576 935 1760 1080 145 184 1668 1007 2 -17 26 2
HH0490-rgb_2016_12_25_21_0_0 415 1542 926 1734 1080 154 192 1638 1003 3 0 6 2
HH0490-rgb_2016_12_25_21_0_0 420 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 425 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 430 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 435 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 440 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 445 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 450 1502 915 1701 1080 165 199 1601 997 8 0 31 2
HH0490-rgb_2016_12_25_21_0_0 455 1521 908 1710 1080 172 189 1615 994 19 9 27 2
HH0490-rgb_2016_12_25_21_0_0 460 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 465 NA NA NA NA NA NA NA NA NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 470 NA NA NA NA NA NA NA NA NA NA NA 2
