subdir frame_num face_height face_width face_x_center face_y_center roll pitch yaw attention_label
HH0490-rgb_2016_12_25_21_0_0 5 159 197 1553 1000 10 -11 0 2
HH0490-rgb_2016_12_25_21_0_0 10 162 205 1553 999 9 -11 0 2
HH0490-rgb_2016_12_25_21_0_0 15 159 200 1555 1000 11 -13 0 2
HH0490-rgb_2016_12_25_21_0_0 20 161 200 1555 999 10 -15 0 2
HH0490-rgb_2016_12_25_21_0_0 25 162 200 1555 999 10 -10 0 2
HH0490-rgb_2016_12_25_21_0_0 30 162 205 1553 999 12 -13 0 2
HH0490-rgb_2016_12_25_21_0_0 35 159 197 1553 1000 10 -16 0 2
HH0490-rgb_2016_12_25_21_0_0 40 161 201 1552 999 12 -14 -1 2
HH0490-rgb_2016_12_25_21_0_0 45 163 205 1553 998 12 -14 0 2
HH0490-rgb_2016_12_25_21_0_0 50 160 200 1555 1000 11 -14 0 2
HH0490-rgb_2016_12_25_21_0_0 55 163 205 1553 998 11 -15 0 2
HH0490-rgb_2016_12_25_21_0_0 60 162 200 1555 999 11 -10 0 2
HH0490-rgb_2016_12_25_21_0_0 65 159 200 1555 1000 10 -13 0 2
HH0490-rgb_2016_12_25_21_0_0 70 159 200 1555 1000 10 -13 0 2
HH0490-rgb_2016_12_25_21_0_0 75 159 200 1555 1000 10 -16 0 2
HH0490-rgb_2016_12_25_21_0_0 80 161 200 1555 999 10 -14 0 2
HH0490-rgb_2016_12_25_21_0_0 85 162 205 1553 999 12 -16 0 2
HH0490-rgb_2016_12_25_21_0_0 90 162 205 1553 999 11 -15 0 2
HH0490-rgb_2016_12_25_21_0_0 95 161 200 1555 999 8 -11 1 2
HH0490-rgb_2016_12_25_21_0_0 100 162 200 1555 999 10 -12 1 2
HH0490-rgb_2016_12_25_21_0_0 105 163 205 1553 998 10 -13 0 2
HH0490-rgb_2016_12_25_21_0_0 110 161 200 1555 999 12 -20 0 2
HH0490-rgb_2016_12_25_21_0_0 115 161 200 1555 999 12 -15 0 2
HH0490-rgb_2016_12_25_21_0_0 120 165 209 1555 997 12 -12 0 2
HH0490-rgb_2016_12_25_21_0_0 125 162 205 1553 999 9 -11 0 2
HH0490-rgb_2016_12_25_21_0_0 130 158 200 1555 1001 12 -15 0 2
HH0490-rgb_2016_12_25_21_0_0 135 162 205 1553 999 10 -10 1 2
HH0490-rgb_2016_12_25_21_0_0 140 159 200 1555 1000 9 -11 1 2
HH0490-rgb_2016_12_25_21_0_0 145 162 205 1553 999 10 -11 0 2
HH0490-rgb_2016_12_25_21_0_0 150 162 205 1553 999 11 -14 0 2
HH0490-rgb_2016_12_25_21_0_0 155 163 205 1553 998 11 -15 0 2
HH0490-rgb_2016_12_25_21_0_0 160 159 200 1555 1000 8 -9 0 2
HH0490-rgb_2016_12_25_21_0_0 165 162 205 1553 999 11 -13 0 2
HH0490-rgb_2016_12_25_21_0_0 170 158 201 1552 1001 8 -12 0 2
HH0490-rgb_2016_12_25_21_0_0 175 165 205 1553 997 10 -15 0 2
HH0490-rgb_2016_12_25_21_0_0 180 165 205 1553 997 10 -13 -1 2
HH0490-rgb_2016_12_25_21_0_0 185 162 209 1555 999 12 -14 0 2
HH0490-rgb_2016_12_25_21_0_0 190 159 200 1555 1000 10 -13 0 2
HH0490-rgb_2016_12_25_21_0_0 195 161 200 1555 999 12 -15 0 2
HH0490-rgb_2016_12_25_21_0_0 200 159 200 1555 1000 10 -14 1 2
HH0490-rgb_2016_12_25_21_0_0 205 159 200 1555 1000 10 -11 1 2
HH0490-rgb_2016_12_25_21_0_0 210 164 209 1555 998 11 -16 0 2
HH0490-rgb_2016_12_25_21_0_0 215 161 200 1555 999 9 -13 1 2
HH0490-rgb_2016_12_25_21_0_0 220 162 205 1556 999 11 -15 0 2
HH0490-rgb_2016_12_25_21_0_0 225 164 209 1555 998 11 -17 0 2
HH0490-rgb_2016_12_25_21_0_0 230 158 200 1555 1001 10 -19 0 2
HH0490-rgb_2016_12_25_21_0_0 235 162 205 1556 999 13 -16 0 2
HH0490-rgb_2016_12_25_21_0_0 240 165 209 1555 997 10 -13 1 2
HH0490-rgb_2016_12_25_21_0_0 245 163 205 1556 998 11 -18 1 2
