subdir frame_num face_startX face_startY face_endX face_endY face_height face_width face_x_center face_y_center yaw pitch roll raw_yaw raw_pitch raw_roll predicted_label attention_label
HH0647-rgb_2017_2_5_21_0_0 5 845.0 730.0 890.0 782.0 52.0 45.0 867.0 756.0 -2.0 -16.0 13.0 -2.0 -16.0 13.0 0 0
HH0647-rgb_2017_2_5_21_0_0 10 812.0 721.0 866.0 783.0 62.0 54.0 839.0 752.0 6.0 -10.0 -8.0 6.0 -10.0 -8.0 0 1
HH0647-rgb_2017_2_5_21_0_0 15 809.0 745.0 862.0 807.0 62.0 53.0 835.0 776.0 9.0 -9.0 -9.0 9.0 -9.0 -9.0 0 0
HH0647-rgb_2017_2_5_21_0_0 15 1771.0 677.0 1865.0 788.0 111.0 94.0 1818.0 732.0 4.0 -16.0 33.0 4.0 -16.0 33.0 0 0
HH0647-rgb_2017_2_5_21_0_0 20 819.0 700.0 878.0 764.0 64.0 59.0 848.0 732.0 -6.0 -18.0 -16.0 -6.0 -18.0 -16.0 0 0
HH0647-rgb_2017_2_5_21_0_0 20 1567.0 688.0 1700.0 827.0 139.0 133.0 1633.0 757.0 -8.0 -34.0 45.0 -8.0 -34.0 45.0 2 0
HH0647-rgb_2017_2_5_21_0_0 25 807.0 721.0 865.0 787.0 66.0 58.0 836.0 754.0 -10.0 -12.0 0.0 -10.0 -12.0 0.0 0 0
HH0647-rgb_2017_2_5_21_0_0 25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 30 842.0 651.0 900.0 715.0 64.0 58.0 871.0 683.0 -3.0 -29.0 15.0 -3.0 -29.0 15.0 0 0
HH0647-rgb_2017_2_5_21_0_0 30 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 35 866.0 629.0 926.0 703.0 74.0 60.0 896.0 666.0 2.0 3.0 -12.0 2.0 3.0 -12.0 0 0
HH0647-rgb_2017_2_5_21_0_0 35 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 40 923.0 629.0 984.0 703.0 74.0 61.0 953.0 666.0 9.0 0.0 -28.0 9.0 0.0 -28.0 1 0
HH0647-rgb_2017_2_5_21_0_0 40 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 45 879.0 633.0 949.0 713.0 80.0 70.0 914.0 673.0 0.0 -4.0 -14.0 0.0 -4.0 -14.0 2 2
HH0647-rgb_2017_2_5_21_0_0 45 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 50 939.0 624.0 1021.0 711.0 87.0 82.0 980.0 667.0 7.0 -8.0 10.0 7.0 -8.0 10.0 2 0
HH0647-rgb_2017_2_5_21_0_0 50 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 55 1031.0 640.0 1118.0 741.0 101.0 87.0 1074.0 690.0 11.0 -6.0 -36.0 11.0 -6.0 -36.0 1 0
HH0647-rgb_2017_2_5_21_0_0 55 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 65 1347.0 626.0 1462.0 758.0 132.0 115.0 1404.0 692.0 0.0 0.0 -28.0 0.0 0.0 -28.0 2 0
HH0647-rgb_2017_2_5_21_0_0 65 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 70 1633.0 618.0 1742.0 767.0 149.0 109.0 1687.0 692.0 4.0 -3.0 -16.0 4.0 -3.0 -16.0 0 0
HH0647-rgb_2017_2_5_21_0_0 70 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 75 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 80 1020.0 656.0 1062.0 709.0 53.0 42.0 1041.0 682.0 -8.0 -24.0 61.0 -8.0 -24.0 61.0 0 0
HH0647-rgb_2017_2_5_21_0_0 85 1075.0 650.0 1121.0 707.0 57.0 46.0 1098.0 678.0 -9.0 0.0 32.0 -9.0 0.0 32.0 2 0
HH0647-rgb_2017_2_5_21_0_0 90 1124.0 644.0 1184.0 704.0 60.0 60.0 1154.0 674.0 6.0 -8.0 24.0 6.0 -8.0 24.0 1 1
HH0647-rgb_2017_2_5_21_0_0 95 1120.0 650.0 1172.0 708.0 58.0 52.0 1146.0 679.0 -2.0 -17.0 43.0 -2.0 -17.0 43.0 1 0
HH0647-rgb_2017_2_5_21_0_0 100 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
HH0647-rgb_2017_2_5_21_0_0 105 966.0 716.0 1024.0 778.0 62.0 58.0 995.0 747.0 -27.0 -10.0 31.0 -27.0 -10.0 31.0 2 0
HH0647-rgb_2017_2_5_21_0_0 110 967.0 703.0 1023.0 767.0 64.0 56.0 995.0 735.0 -12.0 -9.0 21.0 -12.0 -9.0 21.0 2 0
HH0647-rgb_2017_2_5_21_0_0 115 1019.0 645.0 1077.0 705.0 60.0 58.0 1048.0 675.0 3.0 1.0 19.0 3.0 1.0 19.0 1 1
HH0647-rgb_2017_2_5_21_0_0 120 1062.0 637.0 1118.0 697.0 60.0 56.0 1090.0 667.0 10.0 0.0 16.0 10.0 0.0 16.0 1 1
HH0647-rgb_2017_2_5_21_0_0 125 1072.0 633.0 1132.0 695.0 62.0 60.0 1102.0 664.0 14.0 2.0 14.0 14.0 2.0 14.0 1 1
HH0647-rgb_2017_2_5_21_0_0 130 1072.0 633.0 1132.0 695.0 62.0 60.0 1102.0 664.0 12.0 1.0 16.0 12.0 1.0 16.0 1 1
HH0647-rgb_2017_2_5_21_0_0 135 1083.0 631.0 1141.0 695.0 64.0 58.0 1112.0 663.0 12.0 0.0 13.0 12.0 0.0 13.0 1 1
HH0647-rgb_2017_2_5_21_0_0 140 1088.0 633.0 1147.0 695.0 62.0 59.0 1117.0 664.0 14.0 3.0 11.0 14.0 3.0 11.0 1 1
HH0647-rgb_2017_2_5_21_0_0 145 1089.0 631.0 1147.0 695.0 64.0 58.0 1118.0 663.0 14.0 2.0 12.0 14.0 2.0 12.0 1 1
HH0647-rgb_2017_2_5_21_0_0 150 1089.0 631.0 1147.0 694.0 63.0 58.0 1118.0 662.0 15.0 3.0 13.0 15.0 3.0 13.0 2 1
HH0647-rgb_2017_2_5_21_0_0 155 1089.0 633.0 1147.0 695.0 62.0 58.0 1118.0 664.0 14.0 1.0 14.0 14.0 1.0 14.0 1 1
HH0647-rgb_2017_2_5_21_0_0 160 1093.0 633.0 1149.0 695.0 62.0 56.0 1121.0 664.0 16.0 2.0 15.0 16.0 2.0 15.0 1 1
HH0647-rgb_2017_2_5_21_0_0 165 1095.0 634.0 1151.0 694.0 60.0 56.0 1123.0 664.0 16.0 2.0 13.0 16.0 2.0 13.0 1 1
HH0647-rgb_2017_2_5_21_0_0 170 1094.0 634.0 1152.0 694.0 60.0 58.0 1123.0 664.0 17.0 4.0 13.0 17.0 4.0 13.0 1 1
HH0647-rgb_2017_2_5_21_0_0 175 1095.0 636.0 1154.0 694.0 58.0 59.0 1124.0 665.0 17.0 1.0 13.0 17.0 1.0 13.0 1 1
HH0647-rgb_2017_2_5_21_0_0 180 1097.0 631.0 1156.0 695.0 64.0 59.0 1126.0 663.0 16.0 1.0 14.0 16.0 1.0 14.0 1 1
HH0647-rgb_2017_2_5_21_0_0 185 1095.0 633.0 1153.0 696.0 63.0 58.0 1124.0 664.0 16.0 3.0 14.0 16.0 3.0 14.0 1 1
HH0647-rgb_2017_2_5_21_0_0 190 1095.0 634.0 1153.0 697.0 63.0 58.0 1124.0 665.0 15.0 1.0 15.0 15.0 1.0 15.0 1 1
HH0647-rgb_2017_2_5_21_0_0 195 1092.0 635.0 1152.0 697.0 62.0 60.0 1122.0 666.0 13.0 1.0 16.0 13.0 1.0 16.0 1 1
HH0647-rgb_2017_2_5_21_0_0 200 1082.0 645.0 1129.0 700.0 55.0 47.0 1105.0 672.0 -7.0 0.0 44.0 -7.0 0.0 44.0 2 0
HH0647-rgb_2017_2_5_21_0_0 205 1037.0 660.0 1081.0 708.0 48.0 44.0 1059.0 684.0 3.0 -4.0 4.0 3.0 -4.0 4.0 0 0
