subdir frame_num face_height face_width face_x_center face_y_center roll pitch yaw attention_label
HH1610-rgb_2017_3_21_22_0_0 1230 72 56 1150 632 -4 0 -11 1
HH1610-rgb_2017_3_21_22_0_0 890 80 96 1166 661 3 -7 -47 0
HH0647-rgb_2017_2_4_21_0_1 6400 49 46 961 772 1 -5 -36 1
HH0647-rgb_2017_2_4_21_0_1 7050 64 53 1312 793 -2 -1 21 0
HH0647-rgb_2017_2_4_21_0_1 5330 NA NA NA NA NA NA NA 0
HH0647-rgb_2017_2_4_21_0_1 1160 71 53 1388 792 -2 -5 -10 1
HH0490-rgb_2017_2_5_21_0_0 280 35 32 1517 722 4 -6 -40 -1
HH0490-rgb_2017_2_5_21_0_0 1015 50 42 1144 708 -5 -12 -45 0
HH0490-rgb_2017_2_5_21_0_0 1015 43 74 1349 716 10 -14 -61 0
HH0490-rgb_2017_2_5_21_0_0 1015 NA NA NA NA NA NA NA 0
HH0490-rgb_2017_2_5_21_0_0 135 58 42 1147 687 1 0 -36 1
HH0715-rgb_2017_2_12_22_0_0 1345 160 148 1392 857 0 -6 -51 2
HH0715-rgb_2017_2_12_22_0_0 200 97 186 1135 932 7 -7 -48 0
HH0715-rgb_2017_2_12_22_0_0 1015 162 147 1392 863 2 -8 -27 2
HH0715-rgb_2017_2_12_22_0_0 2365 167 147 1395 865 -3 -6 50 2
HH0715-rgb_2017_2_12_22_0_0 8890 NA NA NA NA NA NA NA 2
HH0715-rgb_2017_2_12_22_0_0 1275 160 147 1392 857 2 -7 -49 2
HH0715-rgb_2017_2_12_22_0_0 8660 NA NA NA NA NA NA NA 2
HH0715-rgb_2017_2_12_22_0_0 9165 NA NA NA NA NA NA NA 2
HH0717-rgb_2017_2_4_21_0_0 1390 220 142 1366 591 7 7 2 1
HH0634-rgb_2017_2_22_21_15_0 2020 26 143 1644 631 -2 -12 -45 0
HH0634-rgb_2017_2_22_21_15_0 3855 64 60 1110 772 6 -3 -6 2
HH0634-rgb_2017_2_22_21_15_0 4690 64 63 1108 778 -2 -20 -3 2
HH0634-rgb_2017_2_22_21_15_0 1930 36 157 1685 620 13 -7 -40 0
HH0634-rgb_2017_2_22_21_15_0 4235 70 63 1108 772 -3 11 2 2
