subdir frame_num face_height face_width face_x_center face_y_center roll pitch yaw attention_label
HH1610-rgb_2017_3_21_22_0_0 1230 72 56 1150 632 -4 0 -11 1
HH0681-rgb_2017_2_15_22_0_0 855 45 45 1180 821 5.862496 2.2012193 12.746629 1
HH0681-rgb_2017_2_15_22_0_0 840 43 43 1184 824 4.1090684 3.5266194 9.055058 1
HH0681-rgb_2017_2_15_22_0_0 115 38 38 1192 825 -5.4581313 10.268661 44.03135 0
HH0681-rgb_2017_2_15_22_0_0 2070 39 39 1189 827 -3.8325646 -5.5810494 2.2711632 2
HH0490-rgb_2017_2_5_21_0_0 1100 22 74 1264 705 -1 -6 28 0
HH0490-rgb_2017_2_5_21_0_0 1100 51 67 836 775 -2 -8 7 0
HH0756-rgb_2017_2_2_21_0_0 6875 59 59 454 757 -1.0729182 1.8642424 2.2332282 1
HH0756-rgb_2017_2_2_21_0_0 6915 56 56 453 760 -3.906385 -2.8247557 -0.4713619 1
HH0756-rgb_2017_2_2_21_0_0 6900 56 56 456 757 -2.0041206 -1.3015333 3.8481169 1
HH0715-rgb_2017_2_12_22_0_0 1015 162 147 1392 863 2 -8 -27 2
HH0715-rgb_2017_2_12_22_0_0 2365 167 147 1395 865 -3 -6 50 2
HH0681-rgb_2017_2_15_22_0_0 2070 39 39 1189 827 -3.8325646 -5.5810494 2.2711632 2
HH0756-rgb_2017_2_2_21_0_0 5365 81 81 794 473 2.080491 -2.6803615 -65.33348 2
HH0756-rgb_2017_2_2_21_0_0 5370 87 87 902 440 7.000135 -0.30571145 -40.695114 2
HH0681-rgb_2017_3_18_22_0_0 1715 NA NA NA NA NA NA NA 2
HH0681-rgb_2017_3_18_22_0_0 1715 NA NA NA NA NA NA NA 0
HH0647-rgb_2017_2_4_21_0_1 5330 NA NA NA NA NA NA NA 0
HH0670-rgb_2016_12_23_21_0_0 445 140 172 1576 1010 NA NA NA 2
HH0670-rgb_2016_12_23_21_0_0 135 140 179 1572 1010 NA NA NA 2
HH0670-rgb_2016_12_23_21_0_0 860 140 179 1578 1010 NA NA NA 2
HH0670-rgb_2016_12_23_21_0_0 295 129 129 1603 1019 NA NA NA 0
HH0670-rgb_2016_12_23_21_0_0 250 145 189 1565 1007 NA NA NA 0
HH0670-rgb_2016_12_23_21_0_0 85 139 176 1574 1010 NA NA NA 0
