subdir frame_num face_height face_width face_x_center face_y_center roll pitch yaw attention_label
HH0717-rgb_2017_2_4_21_0_0 1390 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1145 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1970 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1780 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 105 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 850 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 110 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1795 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1965 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1805 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1150 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1150 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 925 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1385 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 2115 NA NA NA NA NA NA NA 2
HH0717-rgb_2017_2_4_21_0_0 700 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1350 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 270 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1185 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 310 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 660 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 885 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1755 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 305 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1635 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 2300 NA NA NA NA NA NA NA 2
HH0717-rgb_2017_2_4_21_0_0 265 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 1345 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 715 NA NA NA NA NA NA NA 0
HH0717-rgb_2017_2_4_21_0_0 1355 NA NA NA NA NA NA NA 1
HH0717-rgb_2017_2_4_21_0_0 705 NA NA NA NA NA NA NA 1
