subdir frame_num face_height face_width face_x_center face_y_center roll pitch yaw attention_label
HH0715-rgb_2017_2_12_22_0_0 1155 168 147 1395 851 2.5192854 -13.025161 -55.647587 2
HH0715-rgb_2017_2_12_22_0_0 1065 155 142 1395 857 3.6920798 -5.1197853 -25.30152 2
HH0715-rgb_2017_2_12_22_0_0 3000 209 176 1299 921 6.7401266 -6.123914 23.75173 2
HH0715-rgb_2017_2_12_22_0_0 1335 158 144 1391 851 4.094472 -3.1295214 -60.61601 2
HH0715-rgb_2017_2_12_22_0_0 1435 144 140 1390 857 3.115954 -2.9453194 -62.334854 2
HH0715-rgb_2017_2_12_22_0_0 1270 154 144 1391 854 4.2913065 -4.2361856 -58.961796 2
HH0715-rgb_2017_2_12_22_0_0 1120 149 141 1392 854 2.4234354 -10.088287 -42.690773 2
HH0715-rgb_2017_2_12_22_0_0 6150 129 129 1239 902 -3.7485528 -5.9785004 1.1162858 2
HH0715-rgb_2017_2_12_22_0_0 535 153 148 1387 851 5.0084825 -14.091745 37.36583 2
HH0715-rgb_2017_2_12_22_0_0 1010 166 151 1394 863 3.867679 -11.297283 -26.557585 2
HH0715-rgb_2017_2_12_22_0_0 2875 207 172 1303 918 6.5905957 -6.0114975 24.122303 2
HH0715-rgb_2017_2_12_22_0_0 9920 188 188 1627 971 -12.623152 -12.558106 28.037197 2
HH0715-rgb_2017_2_12_22_0_0 910 177 152 1400 851 -5.2752314 -13.898784 46.675938 2
HH0715-rgb_2017_2_12_22_0_0 5840 200 172 1262 942 9.7545595 -6.373777 -0.5683919 2
HH0715-rgb_2017_2_12_22_0_0 1380 152 141 1392 854 2.0339453 -5.032787 -61.419994 2
HH0715-rgb_2017_2_12_22_0_0 2685 199 199 1196 962 -7.298215 -6.9426622 71.80645 2
HH0715-rgb_2017_2_12_22_0_0 1175 160 146 1393 854 0.3453663 -11.345315 -44.810173 2
HH0715-rgb_2017_2_12_22_0_0 1225 166 147 1392 854 2.7395272 -9.466311 -60.21968 2
HH0715-rgb_2017_2_12_22_0_0 8425 197 198 1389 921 -7.5839257 -1.3457904 -18.603544 2
HH0715-rgb_2017_2_12_22_0_0 5115 191 179 1247 947 -3.5014093 -5.327866 6.694267 2
HH0715-rgb_2017_2_12_22_0_0 1415 155 148 1390 857 -9.549562 -9.645763 48.63556 2
HH0715-rgb_2017_2_12_22_0_0 1315 159 147 1392 854 3.8729317 -0.9055171 -61.613243 2
HH0715-rgb_2017_2_12_22_0_0 1250 158 147 1392 854 4.4015775 -8.22851 -59.010403 2
HH0715-rgb_2017_2_12_22_0_0 45 143 130 1491 877 -7.6550474 -10.353359 65.89875 2
HH0715-rgb_2017_2_12_22_0_0 1360 152 144 1391 857 5.971398 -5.528783 -45.760925 2
HH0715-rgb_2017_2_12_22_0_0 1030 172 147 1395 857 -0.14848216 -12.8959 -58.486343 2
HH0715-rgb_2017_2_12_22_0_0 2120 108 108 1384 876 -5.387608 3.9911857 40.325756 2
HH0715-rgb_2017_2_12_22_0_0 9075 195 196 1501 991 NA NA NA 2
HH0715-rgb_2017_2_12_22_0_0 9705 228 229 1571 986 NA NA NA 0
HH0715-rgb_2017_2_12_22_0_0 1250 158 147 1392 854 4.069249 -7.7637253 -61.186928 2
HH0715-rgb_2017_2_12_22_0_0 1100 168 151 1394 854 -1.8690027 -17.275715 -46.43787 2
HH0715-rgb_2017_2_12_22_0_0 735 147 148 1381 862 4.567545 -13.536375 22.991135 2
HH0715-rgb_2017_2_12_22_0_0 5895 196 172 1268 939 8.606759 -10.77318 6.169819 2
HH0715-rgb_2017_2_12_22_0_0 1030 172 147 1395 857 0.30918667 -13.810333 -59.776443 2
HH0715-rgb_2017_2_12_22_0_0 1365 150 147 1392 854 -7.733757 -8.918826 52.726765 2
HH0715-rgb_2017_2_12_22_0_0 5665 129 129 1260 926 -10.269246 -5.056926 9.740055 2
HH0715-rgb_2017_2_12_22_0_0 1175 160 146 1393 854 0.2900089 -9.799527 -44.886227 2
HH0715-rgb_2017_2_12_22_0_0 1045 164 147 1395 854 0.3303689 -11.141143 -49.35553 2
HH0715-rgb_2017_2_12_22_0_0 1315 159 147 1392 854 3.7208617 -4.185646 -60.259026 2
HH0715-rgb_2017_2_12_22_0_0 1415 155 148 1390 857 7.147349 -1.0417447 -49.9798 2
HH0715-rgb_2017_2_12_22_0_0 1380 152 141 1392 854 0.95955515 -6.0278444 -58.73453 2
HH0715-rgb_2017_2_12_22_0_0 90 143 126 1492 874 -8.081742 -7.206967 68.14701 2
HH0715-rgb_2017_2_12_22_0_0 4745 247 186 1315 962 8.478199 -7.679587 0.1999839 1
HH0715-rgb_2017_2_12_22_0_0 245 130 168 1176 866 -5.64849 -15.295355 73.01192 0
HH0715-rgb_2017_2_12_22_0_0 1270 154 144 1391 854 3.7946408 -4.4421844 -58.037888 2
HH0715-rgb_2017_2_12_22_0_0 1340 162 147 1392 857 2.6347792 -4.8635583 -57.461826 2
HH0715-rgb_2017_2_12_22_0_0 1010 166 151 1394 863 2.9299371 -11.3633585 -23.792004 2
HH0715-rgb_2017_2_12_22_0_0 2320 108 108 1384 876 -1.842469 -0.51072925 37.299576 2
HH0715-rgb_2017_2_12_22_0_0 1155 168 147 1395 851 1.8397417 -12.399745 -57.505005 2
HH0715-rgb_2017_2_12_22_0_0 1205 150 145 1390 857 4.3450303 -8.067397 -47.76367 2
HH0715-rgb_2017_2_12_22_0_0 8625 228 228 1498 983 NA NA NA 2
HH0715-rgb_2017_2_12_22_0_0 5315 155 155 1286 901 -4.708011 -3.2032218 -11.874536 2
HH0715-rgb_2017_2_12_22_0_0 1335 158 144 1391 851 5.245928 -3.7111192 -60.349655 2
HH0715-rgb_2017_2_12_22_0_0 1615 108 108 1384 874 -1.9939439 -2.2852232 43.41465 2
