subdir frame_num face_height face_width face_x_center face_y_center roll pitch yaw attention_label
HH0490-rgb_2016_12_25_21_0_0 1 147 169 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 6 145 169 1553 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 11 147 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 16 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 21 147 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 26 148 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 31 147 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 36 145 169 1553 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 41 147 172 1552 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 46 148 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 51 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 56 148 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 61 148 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 66 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 71 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 76 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 81 147 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 86 147 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 91 147 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 96 147 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 101 148 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 106 148 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 111 147 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 116 147 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 121 150 179 1555 1005 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 126 147 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 131 144 172 1555 1008 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 136 147 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 141 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 146 147 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 151 147 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 156 148 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 161 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 166 147 175 1553 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 171 144 172 1552 1008 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 176 150 175 1553 1005 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 181 150 175 1553 1005 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 186 147 179 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 191 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 196 147 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 201 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 206 145 172 1555 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 211 149 179 1555 1005 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 216 147 172 1555 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 221 147 175 1556 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 226 149 179 1555 1005 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 231 144 172 1555 1008 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 236 147 175 1556 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 241 150 179 1555 1005 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 246 148 175 1556 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 251 144 175 1556 1008 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 256 149 179 1555 1005 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 261 155 176 1548 1002 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 266 155 176 1548 1002 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 271 147 172 1552 1006 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 276 145 169 1553 1007 NA NA NA 2
HH0490-rgb_2016_12_25_21_0_0 281 138 158 1570 1011 NA NA NA 0
HH0490-rgb_2016_12_25_21_0_0 286 142 162 1580 1009 NA NA NA 0
